model,strategy,fam,epoch,train_loss,valid_loss,valid_f1,test_f1
sincFold,sortS200,tRNA,16.0,0.0047,0.0292,0.6382,
sincFold,sortS200,tRNA,17.0,0.0031,0.0245,0.6133,
sincFold,sortS200,tRNA,18.0,0.0018,0.0397,0.6692,
sincFold,sortS200,tRNA,19.0,0.0019,0.0392,0.6638,
sincFold,sortS200,tRNA,20.0,0.0028,0.0479,0.6431,0.561
sincFold,sortS200,tRNA,21.0,0.002,0.0325,0.6447,
sincFold,sortS200,tRNA,22.0,0.0017,0.0462,0.6694,
sincFold,sortS200,tRNA,23.0,0.0012,0.0336,0.6593,
sincFold,sortS200,tRNA,24.0,0.0027,0.0356,0.6771,
sincFold,sortS200,tRNA,25.0,0.0016,0.0583,0.65,0.598
sincFold,sortS200,tmRNA,0.0,0.0678,0.051,0.4014,
sincFold,sortS200,tmRNA,1.0,0.0678,0.051,0.4014,
sincFold,sortS200,tmRNA,2.0,0.0374,0.042,0.4656,
sincFold,sortS200,tmRNA,3.0,0.0329,0.038,0.5095,
sincFold,sortS200,tmRNA,4.0,0.0292,0.0333,0.5641,
sincFold,sortS200,tmRNA,5.0,0.0273,0.0314,0.5715,0.355
sincFold,sortS200,tmRNA,6.0,0.0301,0.0364,0.5672,
sincFold,sortS200,tmRNA,7.0,0.0246,0.0336,0.5618,
sincFold,sortS200,tmRNA,8.0,0.0212,0.0292,0.6359,
sincFold,sortS200,tmRNA,9.0,0.0192,0.0265,0.6381,
sincFold,sortS200,tmRNA,10.0,0.0163,0.0341,0.6621,0.328
sincFold,sortS200,tmRNA,11.0,0.0134,0.0287,0.6813,
sincFold,sortS200,tmRNA,12.0,0.0092,0.0265,0.6901,
sincFold,sortS200,tmRNA,13.0,0.0061,0.0518,0.6504,
sincFold,sortS200,tmRNA,14.0,0.0049,0.0266,0.699,
sincFold,sortS200,tmRNA,15.0,0.004,0.079,0.6025,0.335
sincFold,sortS200,tmRNA,16.0,0.0093,0.0298,0.6895,
sincFold,sortS200,tmRNA,17.0,0.0072,0.0293,0.702,
sincFold,sortS200,tmRNA,18.0,0.0056,0.0415,0.6951,
sincFold,sortS200,tmRNA,19.0,0.0036,0.0307,0.7187,
sincFold,sortS200,tmRNA,20.0,0.0031,0.0985,0.5422,0.294
sincFold,sortS200,tmRNA,21.0,0.0038,0.0611,0.6629,
sincFold,sortS200,tmRNA,22.0,0.0025,0.032,0.6947,
sincFold,sortS200,tmRNA,23.0,0.0026,0.0443,0.7101,
sincFold,sortS200,tmRNA,24.0,0.0025,0.0325,0.711,
sincFold,sortS200,tmRNA,25.0,0.0019,0.082,0.6248,0.29
sincFold,sortS200,RNaseP,0.0,0.0657,0.0494,0.3741,
sincFold,sortS200,RNaseP,1.0,0.0657,0.0494,0.3741,
sincFold,sortS200,RNaseP,2.0,0.0368,0.0425,0.4271,
sincFold,sortS200,RNaseP,3.0,0.0326,0.0428,0.4568,
sincFold,sortS200,RNaseP,4.0,0.0313,0.0349,0.52,
sincFold,sortS200,RNaseP,5.0,0.0272,0.0324,0.5506,0.451
sincFold,sortS200,RNaseP,6.0,0.0285,0.0318,0.5576,
sincFold,sortS200,RNaseP,7.0,0.0245,0.0311,0.565,
sincFold,sortS200,RNaseP,8.0,0.0217,0.0295,0.6109,
sincFold,sortS200,RNaseP,9.0,0.0206,0.026,0.6193,
sincFold,sortS200,RNaseP,10.0,0.0161,0.0324,0.6423,0.41
sincFold,sortS200,RNaseP,11.0,0.014,0.0305,0.6587,
sincFold,sortS200,RNaseP,12.0,0.0101,0.035,0.6498,
sincFold,sortS200,RNaseP,13.0,0.0074,0.0368,0.6431,
sincFold,sortS200,RNaseP,14.0,0.0061,0.0275,0.668,
sincFold,sortS200,RNaseP,15.0,0.0044,0.0427,0.6603,0.28
sincFold,sortS200,RNaseP,16.0,0.0037,0.0405,0.6827,
sincFold,sortS200,RNaseP,17.0,0.003,0.0368,0.6859,
sincFold,sortS200,RNaseP,18.0,0.0019,0.0452,0.6735,
sincFold,sortS200,RNaseP,19.0,0.0023,0.0435,0.6799,
