model,strategy,K,fam,test_f1
RiNALMo-ResNet,clusS,400,tRNA,0.876191395830916
RiNALMo-ResNet,clusS,400,telomerase,0.0877157379438921
RiNALMo-ResNet,clusS,400,tmRNA,0.6301788774787362
RiNALMo-ResNet,randS,100,16s,0.4554989253179405
RiNALMo-ResNet,randS,100,23s,0.5825941269657251
RiNALMo-ResNet,randS,100,5s,0.7272724465400539
RiNALMo-ResNet,randS,100,RNaseP,0.5864103090614088
RiNALMo-ResNet,randS,100,grp1,0.5165862809897233
RiNALMo-ResNet,randS,100,srp,0.5478672493175067
RiNALMo-ResNet,randS,100,tRNA,0.8464624455055278
RiNALMo-ResNet,randS,100,telomerase,0.0831682047081275
RiNALMo-ResNet,randS,100,tmRNA,0.5914889638811969
RiNALMo-ResNet,randS,200,16s,0.4908472610992401
RiNALMo-ResNet,randS,200,23s,0.5833198069360702
RiNALMo-ResNet,randS,200,5s,0.7605024594065176
RiNALMo-ResNet,randS,200,RNaseP,0.5996196636180119
RiNALMo-ResNet,randS,200,grp1,0.5508056260915837
RiNALMo-ResNet,randS,200,srp,0.5749815665836211
RiNALMo-ResNet,randS,200,tRNA,0.874103422455763
RiNALMo-ResNet,randS,200,telomerase,0.0849411001727448
RiNALMo-ResNet,randS,200,tmRNA,0.6406691181563038
RiNALMo-ResNet,randS,400,16s,0.5046301295451606
RiNALMo-ResNet,randS,400,23s,0.5904182702350946
RiNALMo-ResNet,randS,400,5s,0.7694808026703234
RiNALMo-ResNet,randS,400,RNaseP,0.6454925952780792
RiNALMo-ResNet,randS,400,grp1,0.5738248978251151
RiNALMo-ResNet,randS,400,srp,0.5692920277804743
RiNALMo-ResNet,randS,400,tRNA,0.860082130462838
RiNALMo-ResNet,randS,400,telomerase,0.0855444942503124
RiNALMo-ResNet,randS,400,tmRNA,0.6213515111406672
RiNALMo-ResNet,sortS,100,16s,0.459200479955279
RiNALMo-ResNet,sortS,100,23s,0.5282870041882367
RiNALMo-ResNet,sortS,100,5s,0.7187776665105775
RiNALMo-ResNet,sortS,100,RNaseP,0.6027060557856041
RiNALMo-ResNet,sortS,100,grp1,0.5177574783947804
RiNALMo-ResNet,sortS,100,srp,0.5647325727727345
RiNALMo-ResNet,sortS,100,tRNA,0.8578211794195855
RiNALMo-ResNet,sortS,100,telomerase,0.1178705100521651
RiNALMo-ResNet,sortS,100,tmRNA,0.5616168804582226
RiNALMo-ResNet,sortS,200,16s,0.48421495986019
RiNALMo-ResNet,sortS,200,23s,0.5828745373722485
RiNALMo-ResNet,sortS,200,5s,0.7606083719912649
RiNALMo-ResNet,sortS,200,RNaseP,0.6334326900155177
RiNALMo-ResNet,sortS,200,grp1,0.5182578477837464
